propuesta_id,titulo_web,zona_web,importe_web,pagina_web,url_web
7859,"Reforma integral del ""Parque de la J""",Zona Parquesol,150.000 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7859
8548,Iluminación en Cañada Real,Zona Sur 2,400.000 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8548
8026,"Arreglo paseo de las Aceñas, paseo Moreras",Zona Centro,350.000 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8026
7883,Creación de pasos ciclistas en Pso. Zorrilla (Parque Alameda).,Zona Sur 2,70.000 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7883
7758,"Renovar vestuarios de la piscina cubierta Canterac (Agrupada con 8427,8484,8486)",Zona Este 1,483.819 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7758
7849,Estación Biki Expansión Puente Jardín (Agrupada con 8403),Zona Pisuerga 1,39.094 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7849
7640,"CUBRIR PISTAS DE PADEL DEL POLIDEPORTIVO HUERTA DEL REY(AGRUPADA CON 8172, 8370)",Zona Pisuerga 2,696.975 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7640
8499,Conexión de carriles bici en Pº del Hospital Militar.,Zona Sur 1,60.000 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8499
7950,Calle Aurora (Reurbanización de la mitad de la calle vieja),Zona Sur 1,250.000 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7950
8575,Mejora del suelo de la pasarela que une Parquesol con el Museo de la Ciencia,Zona Parquesol,900.000 €,7,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8575
7726,Reacondicionamiento de las instalaciones deportivas en el Parque del Mediodía,Zona Parquesol,438.978 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7726
8101,RECUPERACIÓN PARA EL PEATÓN DE LA AVENIDA DE SALAMANCA ENTRE G.FUERTES Y P. J. A,Zona Pisuerga 2,950.000 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8101
8055,Mesas de picnic en Parque Pinar de Jalón,Zona Este 1,30.000 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8055
8092,Carriles bici en Calle de los Vinos de Rueda y Calle de los Vinos de Cigales,Zona Sur 2,900.000 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8092
7567,Adecuacion de la plaza solidaridad (Agrupada con 7568),Zona Pisuerga 1,300.000 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7567
8476,"Arreglo de la acera de la calle Doctor Ochoa (agrupada con 8485, 8487, 8532)",Zona Esgueva 1,300.000 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8476
8225,Mejora de la pista de patinaje de velocidad La Victoria – Puente Jardín,Zona Pisuerga 1,412.388 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8225
7716,Reforma integral plaza alberto fernandez,Zona Esgueva 1,350.000 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7716
7776,"Ampliación parque infantil c/ Amor de dios (Agrupada con 8471, 8551)",Zona Esgueva 1,25.000 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7776
8080,8080-Mejoras polideportivo pisuerga,Zona Sur 1,1.007.166 €,8,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8080
