situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_en_final_126,fiabilidad_lectura_mesa
Mesa pero no final,Zona Pisuerga 1,7573,Cubierta y focos para las pistas deportivas anexas al CC Canal de Castilla,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7573,73,,SI,13,NO,alta
Mesa pero no final,Zona Centro,7834,Peatonalizaciones para mejorar la seguridad vial: entorno escolar la Enseñanza,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7834,71,Movilidad peatonal | Espacios seguros de peatones | Seguridad Vial | Transportes y movilidad | Urbanismo | Educación,SI,12,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,7959,Pavimentación de las aceras de la calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7959,71,Medio Ambiente | Seguridad y emergencias | Urbanismo,SI,1,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,7875,Arreglo acera calle soto por detrás del colegio Entre Rios y hacer carril bici,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7875,69,Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,8,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8366,Conexion carribici Paseo del cauce con calle Rabida por calle Reguero,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8366,69,Salud y consumo - Animales | Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,9,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Sur 1,7981,PLANTACIÓN DE ARBOLADO EN CARRETERA DE LA ESPERANZA,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7981,67,Salud y consumo - Animales | Participación ciudadana - Asociaciones | Transportes y movilidad | Medio Ambiente - Limpieza,SI,11,NO,alta
Mesa pero no final,Zona Centro,8517,"Prolongación del carril bici de la calle Cardenal Mendoza por las calles Reyes,",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8517,62,Salud y consumo - Animales | Transportes y movilidad | Medio Ambiente - Limpieza | Seguridad y emergencias | Urbanismo,SI,10,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Sur 2,7643,CREACIÓN DE PARQUE FELINO O GATODRÓMO,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7643,60,Salud y consumo - Animales | Medio Ambiente - Limpieza | Seguridad y emergencias | Urbanismo,SI,7,NO,alta
Mesa pero no final,Zona Pisuerga 2,8127,Iluminación Plaza Porticada,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8127,59,,SI,6,NO,alta
Mesa pero no final,Zona Pisuerga 2,8434,Reforma y Rehabilitación del espacio (C/ Rastrojo y Rigoberto Cortejoso),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8434,53,Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,12,NO,alta
Mesa pero no final,Zona Centro,7582,AREA INFANTIL PARQUE DEL PONIENTE,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7582,52,,SI,5,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Pisuerga 2,8106,SOTERRAR CONTENEDORES DE RESIDUO URBANOS EN HUERTA DEL REY,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8106,52,Medio Ambiente - Limpieza | Urbanismo,SI,7,NO,alta
Mesa pero no final,Zona Pisuerga 2,8100,Puentes de acceso al centro ciudad no hay ninguno que proteja de lluvia o sol,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8100,51,Urbanismo,SI,13,NO,alta
Mesa pero no final,Zona Sur 2,8420,Rehabilitación antiguas piscinas Puente Duero,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8420,50,Participación ciudadana - Asociaciones | Medio Ambiente - Limpieza | Urbanismo | Educación,SI,2,NO,alta
Mesa pero no final,Zona Este 2,8560,Ampliación y renovación acera Calle Salud e incorporar árboles,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8560,48,Transportes y movilidad | Urbanismo,SI,4,NO,alta
Mesa pero no final,Zona Centro,8215,PUESTA EN VALOR CAMARÍN DE SAN MARTÍN,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8215,47,Turismo | Cultura,SI,6,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Centro,8353,Punto de Encuentro para la Convivencia (PEC): Espacio Municipal de Mediación Com,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8353,47,Participación ciudadana - Asociaciones | Servicios sociales | Educación,SI,8,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Este 2,8096,Mejoras para ciclistas y VMP en todas las escaleras de la ciudad,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8096,45,Participación ciudadana - Asociaciones | Transportes y movilidad | Medio Ambiente - Limpieza | Urbanismo,SI,12,NO,alta
