situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_descartada_en_mesa,decision_mesa,aparece_en_final_126,fiabilidad_lectura_mesa,extracto_acta,razon_exclusion,informe_inviabilidad_url
Descartada por mesa y fuera de la final,Zona Centro,8215,PUESTA EN VALOR CAMARÍN DE SAN MARTÍN,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8215,47,Turismo | Cultura,SI,12,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8215: debe hacerlo el Ayuntamiento y su viabilidad es dudosa.,"Inadmitida por la mesa argumentando que debe ser el Ayuntamiento quien realice tal puesta en valor y dudando de su posible viabilidad además de no creer competente que se deba hacer desde Presupuestos participativos tal puesta en valor.
Además, la información municipal, que solicitó la mesa de zona,  indica que la iluminación de los elementos se tiene que estudiar por su integración a la Ruta Ríos de Luz o por otras actuaciones conjuntas que incluyan distintos elementos, pero no como edificios aislados. En cuanto a la instalación de un tótem, sucede lo mismo, hay un plan de señalización que indica los diferentes tipos de señalización (hotelera, direccional, patrimonial, etc.) y se especifican los distintos elementos a señalizar, pero debiendo abordar cada tipo de señalización también como un conjunto y no como elementos aislados.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8215
Descartada por mesa y fuera de la final,Zona Centro,7586,Propuesta de soterrar contenedores calle Torrecilla,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7586,45,Contenedores soterrados Torrecilla Valladolid san Pablo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7586: inviable por espacio de paso y movimiento.,"Inadmitida por la mesa argumentado en que es inviable por espacio de paso y movimiento del mismo.
Además, el informe municipal indica que tiene un elevado coste de mantenimiento y reposición, incremento en tiempos y costes que implica la recogida en este tipo de infraestructuras e ineficacia en la separación de fracciones de manera adecuada de costes.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7586
Descartada por mesa y fuera de la final,Zona Centro,8058,Paso de Peatones San Quirce (San Pablo),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8058,45,Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8058: supone más peligrosidad que beneficio.,"Inadmitida por la mesa argumentado en que supone más peligrosidad que beneficio al desembarcar una calle peatonal en ese punto.
Además, la información municipal, que solicitó la mesa de zona, indica que hay intensidad baja de cruces peatonales y, en caso de regulación, debería ser mediante semáforos.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8058
Descartada por mesa y fuera de la final,Zona Centro,7877,Creación de un museo del Belén,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7877,42,Turismo | Cultura,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7877: no concreta lugar ni atiende necesidades del barrio-zona.,"Inadmitida por la mesa argumentado en que no concreta el lugar de creación además de no atender necesidades del barrio-zona.
 Además, la información municipal, que solicitó la mesa de zona,  indica que:
-No se identifica el espacio en el cual puede realizarse el Museo, pudiendo no tener en estos momentos un edificio de propiedad municipal para ese fin. 
-No tener la disponibilidad y no conocer en estos momentos las condiciones de préstamo de los elementos expositivos. 
Al no determinarse el espacio, no es posible conocer en primer lugar si hay disponibilidad de un espacio, en segundo lugar, el coste de reforma y adecuación del mismo. Por otro lado, no atiende las necesidades del barrio y conlleva unos elevados costes de mantenimiento y gestión.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7877
Descartada por mesa y fuera de la final,Zona Centro,8272,"Plantación de árboles en la Plaza del Rosarillo, con bancos.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8272,34,Urbanismo,SI,11,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8272: difícil de ejecutar en la Plaza del Rosarillo; se excluye.,"Inadmitida por la mesa argumentado en que es una propuesta difícil de llevar a cabo puesto que ya hay, tanto bancos como árboles, en dicha plaza.
La información municipal, que solicitó la mesa de zona, indica que está de acuerdo con lo indicado por la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8272
Descartada por mesa y fuera de la final,Zona Centro,8310,Mural del Voluntariado,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8310,33,Salud y consumo - Animales | Participación ciudadana - Asociaciones | Medio Ambiente - Limpieza | Urbanismo | Educación | Cultura,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8310: inconcreción de la propuesta.,"Inadmitida por la mesa argumentado en la inconcreción de la propuesta en su descripción.
Además, la información municipal, que solicitó la mesa de zona, indica que está de acuerdo con el criterio de la mesa",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8310
Descartada por mesa y fuera de la final,Zona Centro,8196,Derribar quiosco que existe en la calle Teresa Gil,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8196,30,Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8196: inviabilidad del derribo del quiosco / derechos de autor.,"Inadmitida por la mesa argumentado en la respuesta de los técnicos municipales a la inviabilidad del proyecto debido a que es una obra arquitectónica de diseño y tal motivo impide su derrumbe y que es un local que tiene derechos de autor.
Además,  la información municipal, que solicitó la mesa de zona, indica que es una obra arquitectónica de diseño y tal motivo impide su derrumbe, que el referido quiosco forma parte integrante de la peatonalización de la calle Teresa Gil, pudiendo consultar la  ficha descriptiva de la citada obra para que se entienda el alcance e importancia que hay que dar a esta esta intervención en la ciudad en  https://share.google/pdryqcH6oaLE1rBzH 
En base a lo anterior, se considera  la urbanización y ordenación de la plaza junto con el kiosco una ""Obra Maestra de la arquitectura contemporánea"", se puede defender técnicamente y jurídicamente la preservación del kiosco, pero también señalar que no tiene desde el punto de vista normativo, ninguna proyección más allá de la interpretación que se dé a la Ley de propiedad Intelectual.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8196
Descartada por mesa y fuera de la final,Zona Centro,8407,Creación/adquisición Centro de vida Activa La Marquesina,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8407,30,Deportes | Participación ciudadana - Asociaciones | Servicios sociales | Educación | Cultura,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8407: el espacio ya se encuentra en funcionamiento.,"Inadmitida por la mesa argumentando que es un proyecto que ya se encuentra en marcha y que es un espacio que ya se encuentra en funcionamiento.
La información municipal, que solicitó la mesa de zona, indica que el CVA Pasaje de la Marquesina no se cerrará cuando se abra el nuevo CVA Zona Centro, por lo que la petición ya no tiene repercusión en presupuestos participativos.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8407
Descartada por mesa y fuera de la final,Zona Centro,7760,Remodelación accesos peatonales a Santa Brígida,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7760,28,Transportes y movilidad | Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7760: ya incluida en el proyecto de remodelación de Las Brígidas.,"Inadmitida por la mesa argumentado en que esta propuesta ya se encuentra dentro del proyecto de remodelación de Santa Brígida.
La información municipal, que solicitó la mesa de zona, indica que está de acuerdo con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7760
Descartada por mesa y fuera de la final,Zona Centro,8008,Acondicionamiento mediante mobiliario urbano y jardineras en entorno Antigua,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8008,23,,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8008: el entorno ya cuenta con esos elementos.,"Inadmitida por la mesa argumentado en que es un entorno en donde ya se encuentra lo que hay en el interior de la propuesta.
La información municipal, que solicitó la mesa de zona, indica que que está de acuerdo con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8008
Descartada por mesa y fuera de la final,Zona Centro,7910,Ampliación plazas residentes parking público paseo de Isabel la católica,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7910,22,Transportes y movilidad,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 7910: no es inclusiva; solo beneficia a residentes.,"Inadmitida por la mesa argumentado en que no es inclusivo puesto que solo se pide para los residentes.
Además, la información municipal, que solicitó la mesa de zona, indica que excede claramente de 1,05 M€.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7910
Descartada por mesa y fuera de la final,Zona Centro,8019,Comprar máquinas para quitar grafitis,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8019,20,Medio Ambiente - Limpieza | Urbanismo | Turismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),"ID 8019: mantenimiento ordinario, no mejora de ciudad.","Inadmitida por la mesa argumentando  que es una inversión que debe estar incluida en los presupuestos generales ordinarios del Ayto. de Valladolid. Añadiendo posteriormente que es parte del mantenimiento del ayuntamiento y no una mejora para la ciudad.
Además, la información municipal, que solicitó la mesa de zona, indica que el Servicio de Limpieza dispone de maquinaria suficiente para limpiar los grafitis de edificios públicos y de muebles de la vía pública, siendo esa su competencia, no así, la limpieza de grafitis en fachadas de fincas privadas, cuya limpieza corresponde a sus propietarios.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8019
Descartada por mesa y fuera de la final,Zona Centro,8466,Pavimentar y adoquinar Calle María de Molina y aledaños,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8466,19,,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8466: la pavimentación ya se ha realizado.,"Inadmitida por la mesa argumentando que ya se ha llevado a cabo la pavimentación de la zona que se detalla en la descripción.
Además, la información municipal, que solicitó la mesa de zona, indica que está de acuerdo con el criterio de la mesa indica que se trata de un conjunto de calles semipeatonales que requerirán, a medio plazo, un nuevo tratamiento en las bandas de rodadura, pero el adoquinado puede no ser una buena solución dado que tendrá que seguir pasando el tráfico de residentes, carga y descarga, etc. (Véase lo que ocurre en c/ Santiago o en c/ Teresa Gil). Y excedería de 1,05 M€.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8466
Descartada por mesa y fuera de la final,Zona Centro,8067,Eliminacion barreras arquitectonicas y reparacion o siutitucion fuente,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8067,17,,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8067: la mesa no considera necesaria esta intervención.,"Inadmitida por la mesa argumentando que no se considera necesaria esta intervención para la zona.
Además, la información municipal, que solicitó la mesa de zona, indica que existen opiniones encontradas sobre la posible reurbanización de la plaza. Se considera que no encaja en este proceso.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8067
Descartada por mesa y fuera de la final,Zona Centro,8431,Calle Muro,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8431,15,Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8431: ya se ejecuta riego en esos árboles.,"Inadmitida por la mesa argumentando que en esos árboles ya se ejecuta riego.
Además, la información municipal, que solicitó la mesa de zona, indica que está de acuerdo con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8431
Descartada por mesa y fuera de la final,Zona Centro,8212,Mejorar la iluminación,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8212,13,Medio Ambiente - Limpieza | Urbanismo,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8212: no corresponde a presupuestos participativos.,"Inadmitida por la mesa argumentando que no es correspondiente a los presupuestos participativos.
La información municipal, que solicitó la mesa de zona, indica que coincide con el criterio de la mesa.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8212
Descartada por mesa y fuera de la final,Zona Centro,8278,Plaza Val sustituir Fuente por Circuito de Ejercicios Mayores,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8278,13,Salud y consumo - Animales,NO,,SI,Descartada / inadmitida por la mesa,NO,alta (revisión visual acta completa),ID 8278: no se considera necesario ni viable por espacio.,"Inadmitida por la mesa argumentando que, además de no considerarlo necesario, no se considera viable debido al espacio.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8278
